"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","FGM","FGA","3PTM","FTM","FTA","PTS","REB","AST","ST","BLK","TO","3D","2D"
"*02nf6*","Damian Lillard","MIL","PG,G,Flx","26","Jmarr237","33","DET Sat 3:00PM","934","42.45","100%","12.04","99%","0%","7.1","16.9","2.9","7.7","8.5","24.8","4.5","7.0","1.0","0.2","2.8","0.0","4"
"*027oo*","Jonas Valanciunas","NO","C,Flx","27","STARKS","31","","933","35.88","99%","100.07","99%","+0.2%","5.7","9.9","0.7","2.6","3.2","14.6","9.5","2.4","0.5","1.3","1.4","0.0","13"
"*042nm*","Pascal Siakam","TOR","PF,F,C,Flx","28","STARKS","29","","929","37.16","100%","30.13","99%","+0.1%","8.0","15.8","1.0","4.0","5.4","20.9","6.7","5.0","0.9","0.2","2.4","0.0","4"
"*03ad3*","Karl-Anthony Towns","MIN","PF,F,C,Flx","29","maxpat01","28","IND Sat 5:00PM","923","40.13","100%","22.11","100%","0%","7.8","15.3","2.0","4.0","4.5","21.6","9.4","3.0","0.8","0.7","2.9","0.0","13"
"*05uiq*","Alperen Sengun","HOU","C,Flx","30","GBRAYERS","21","","919","41.77","100%","54.74","100%","0%","7.9","15.0","0.7","3.2","4.7","19.7","9.0","5.2","1.0","0.9","2.7","0.0","7"
"*01eon*","DeMar DeRozan","CHI","SG,G,SF,PF,F,Flx","31","BBB","34","@MIA Sat 5:00PM","914","38.08","100%","46.11","100%","0%","7.6","17.5","1.0","6.0","7.4","22.3","3.6","5.3","0.9","0.8","1.3","0.0","3"
"*04ewr*","Kyle Kuzma","WAS","SF,PF,F,Flx","32","Jmarr237","28","","910","37.92","100%","72.19","100%","-0.1%","9.1","19.1","2.3","2.8","3.5","23.3","5.9","4.4","0.3","0.6","2.4","0.0","4"
"*04qrn*","Mikal Bridges","BKN","SG,G,SF,F,Flx","33","SDP","27","@GS Sat 5:30PM","906","37.75","100%","22.07","100%","0%","8.1","16.7","2.2","4.1","4.8","22.5","5.6","3.8","1.0","0.5","2.5","0.0","3"
"*049kb*","De'Aaron Fox","SAC","PG,G,Flx","34","SDP","25","UTA Sat 7:00PM","883","49.06","100%","28.76","100%","0%","10.6","22.2","3.2","5.8","7.9","30.1","4.4","6.4","1.4","0.3","2.6","0.0","2"
"*04qrj*","Jaren Jackson","MEM","PF,F,C,Flx","35","maxpat01","24","","881","36.71","100%","41.64","100%","0%","7.5","16.9","1.7","5.2","6.2","21.8","5.7","1.8","0.8","1.9","1.9","0.0","1"
"*02xg9*","Rudy Gobert","MIN","C,Flx","36","HBC","31","IND Sat 5:00PM","878","38.17","100%","64.09","99%","+0.1%","5.0","8.0","0.0","3.1","5.0","13.0","12.2","1.2","0.7","2.4","1.6","0.0","16"
"*03ad4*","D'Angelo Russell","LAL","PG,SG,G,Flx","37","STARKS","27","","872","34.88","99%","97.33","99%","0%","6.1","12.8","2.1","1.7","2.2","16.0","3.2","6.4","0.8","0.5","1.9","0.0","3"
"*03e6n*","Jusuf Nurkic","PHO","C,Flx","38","CCC","29","","865","34.6","98%","106.55","99%","0%","4.6","9.7","0.7","2.6","3.6","12.5","9.9","3.8","1.0","1.2","2.0","0.0","9"
"*05uib*","Cade Cunningham","DET","PG,SG,G,Flx","39","SERP","22","@MIL Sat 3:00PM","861","34.44","100%","32.71","100%","0%","7.9","18.9","1.9","3.6","4.1","21.3","4.0","7.1","0.9","0.2","4.1","0.0","4"
"*005ki*","Brook Lopez","MIL","C,Flx","40","BBB","35","DET Sat 3:00PM","861","35.88","100%","73.08","98%","+0.1%","5.0","10.0","1.8","1.7","2.1","13.4","4.9","1.5","0.8","3.0","0.9","0.0","0"
"*04848*","Fred VanVleet","HOU","PG,G,Flx","41","Jmarr237","29","","856","40.76","100%","34.82","99%","0%","5.3","14.0","3.0","2.8","3.2","16.4","4.3","8.5","1.1","0.5","1.7","0.0","8"
"*03ad2*","Myles Turner","IND","C,Flx","42","Jmarr237","27","@MIN Sat 5:00PM","850","36.96","100%","42","100%","0%","6.3","12.4","1.4","3.1","4.0","17.1","7.9","1.3","0.6","2.1","1.4","0.0","7"
"*04qrr*","Michael Porter","DEN","SF,F,Flx","43","HBC","25","OKC Sat 6:00PM","847","32.58","99%","93.89","98%","-0.2%","6.4","13.5","2.7","1.2","1.5","16.7","7.9","1.6","0.5","0.8","1.2","0.0","6"
"*05uii*","Franz Wagner","ORL","SG,G,SF,F,Flx","44","Orcas","22","","845","35.21","100%","63.51","100%","0%","7.5","16.5","1.5","3.9","4.6","20.5","5.7","3.8","1.1","0.3","1.8","0.0","0"
"*051on*","Coby White","CHI","PG,SG,G,Flx","45","VSL","23","@MIA Sat 5:00PM","845","32.5","62%","150.03","92%","0%","6.0","13.3","3.2","2.0","2.4","17.1","3.7","4.7","0.9","0.2","1.8","0.0","1"
"*06210*","Paolo Banchero","ORL","SF,PF,F,Flx","46","SERP","21","","842","35.08","100%","55.2","100%","0%","7.5","15.6","1.2","4.2","6.2","20.4","6.7","4.5","1.0","0.6","3.3","0.0","5"
"*05uid*","Evan Mobley","CLE","PF,F,C,Flx","47","VSL","22","ATL Sat 4:30PM","837","39.86","100%","38.7","100%","0%","6.8","11.8","0.1","2.4","3.1","16.0","10.5","2.9","0.8","1.7","2.3","0.0","12"
"*03lls*","Jaylen Brown","BOS","SG,G,SF,F,Flx","48","Jmarr237","27","","831","36.13","100%","39.25","100%","0%","8.6","18.3","2.2","2.5","3.5","21.9","4.7","3.4","1.2","0.7","2.4","0.0","0"
"*042n1*","Brandon Ingram","NO","SG,G,SF,PF,F,Flx","49","SDP","26","","828","36","100%","51.66","99%","0%","8.8","17.8","1.2","4.2","5.2","23.0","4.9","5.3","0.7","0.2","2.9","0.0","0"
