ID,Player,Team,Position,RkOv,Status,Age,Opponent,FPts,FP/G,%D,ADP,Ros,+/-,FGM,FGA,3PTM,FTM,FTA,PTS,REB,AST,ST,BLK,TO,3D,2D
*027oj*,Kyrie Irving,DAL,"PG,SG,G,Flx",56,BBB,31,,631,42.07,100%,21.14,99%,0%,8.7,19.2,2.6,3.5,3.9,23.6,4.1,5.5,1.1,0.3,1.5,0.0,2
*027oz*,Kawhi Leonard,LAC,"SG,G,SF,F,Flx",19,BBB,32,,790,41.58,100%,35.45,98%,0.1%,8.2,17.1,2.2,3.3,4.0,21.8,6.0,3.4,1.6,0.7,1.5,0.0,0
*04qsa*,Jalen Brunson,NY,"PG,G,Flx",20,HHBC,27,,785,41.32,100%,39.87,100%,0%,8.9,19.1,3.3,3.8,4.6,24.9,3.7,5.5,1.0,0.1,1.9,0.0,0
*03ad3*,Karl-Anthony Towns,MIN,"PF,F,C,Flx",21,VSL,28,,782,41.16,100%,22.12,100%,0%,8.1,16.1,2.2,3.8,4.2,22.2,9.0,3.1,0.9,0.7,2.9,0.0,10
*01uyj*,Paul George,LAC,"SF,PF,F,Flx",22,maxpat01,33,,781,41.11,100%,36.43,99%,-0.1%,8.1,18.2,3.2,4.2,4.5,23.5,5.8,4.3,1.6,0.2,2.4,0.0,1
*04848*,Fred VanVleet,HOU,"PG,G,Flx",52,Jmarr237,29,,655,40.94,100%,34.59,99%,0%,5.6,14.2,3.1,2.3,2.6,16.5,4.2,9.1,0.7,0.4,1.6,0.0,8
*05uid*,Evan Mobley,CLE,"PF,F,C,Flx",15,SDP,22,,808,40.4,100%,38.73,100%,0%,6.7,11.8,0.1,2.5,3.3,16.0,10.8,3.0,0.8,1.7,2.2,0.0,12
*03nwl*,Terry Rozier,CHA,"PG,SG,G,Flx",174,maxpat01,29,,359,39.89,100%,81.8,99%,0.4%,8.6,18.4,2.2,3.2,4.0,22.6,3.7,6.6,1.0,0.3,2.6,0.0,1
*051oh*,Zion Williamson,NO,"PF,F,Flx",49,STARKS,23,,665,39.12,100%,47.41,100%,0%,9.2,16.2,0.1,5.0,7.5,23.5,5.8,4.9,1.1,0.3,2.6,0.0,2
*04qrn*,Mikal Bridges,BKN,"SG,G,SF,F,Flx",27,GBRAYERS,27,,743,39.11,100%,22.04,100%,0%,8.3,17.2,2.1,4.2,4.9,22.8,6.2,3.9,1.1,0.5,2.5,0.0,3
*04ewr*,Kyle Kuzma,WAS,"SF,PF,F,Flx",28,Jmarr237,28,,738,38.84,100%,72.33,100%,0.1%,9.2,19.3,2.3,2.9,3.6,23.6,6.1,4.6,0.3,0.6,2.5,0.0,4
*042nq*,Dejounte Murray,ATL,"PG,SG,G,Flx",29,STARKS,27,,738,38.84,100%,35.59,100%,0%,7.7,16.8,2.3,2.7,3.1,20.4,4.1,5.1,1.8,0.3,2.4,0.0,2
*051ot*,Tyler Herro,MIA,"PG,SG,G,Flx",198,HHBC,23,,309,38.62,100%,70.73,100%,0%,8.5,19.0,3.1,2.8,3.1,22.9,5.0,4.6,1.4,0.0,2.5,0.0,1
*027pe*,Jimmy Butler,MIA,"SF,PF,F,Flx",58,STARKS,34,,616,38.5,100%,26.87,98%,-0.1%,6.9,14.8,1.1,7.5,8.4,22.4,5.4,4.0,1.2,0.5,1.8,0.0,2
*051pb*,Nicolas Claxton,BKN,"C,Flx",155,BIGFOOTS,24,,383,38.3,100%,54.37,99%,0.1%,5.7,8.4,0.0,1.3,2.2,12.7,8.7,1.5,0.6,2.6,0.8,0.0,3
*04qrp*,Miles Bridges,CHA,"SF,PF,F,Flx",201,Orcas,25,,306,38.25,76%,169.55,94%,0.2%,7.4,14.8,2.0,3.8,4.5,20.5,7.0,2.8,1.3,0.4,1.6,0.0,3
*03el5*,Kristaps Porzingis,BOS,"PF,F,C,Flx",73,STARKS,28,,569,37.93,100%,36.27,99%,-0.1%,6.5,11.9,1.6,4.3,5.3,18.9,6.7,1.9,0.7,1.7,1.3,0.0,1
