"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","FGM","FGA","3PTM","FTM","FTA","PTS","REB","AST","ST","BLK","TO","3D","2D"
"*01eo6*","James Harden","LAC","PG,SG,G,Flx","27","Jmarr237","34","","2218","43.49","100%","26.13","99%","0%","5.0","11.4","2.8","4.5","5.1","17.3","5.2","8.3","1.1","0.9","2.6","0.0","16"
"*03ad3*","Karl-Anthony Towns","MIN","PF,F,C,Flx","29","SDP","28","","2213","39.52","100%","22.09","99%","0%","8.0","15.6","2.3","4.3","4.9","22.6","8.5","2.9","0.7","0.7","2.8","0.0","21"
"*01eon*","DeMar DeRozan","CHI","SG,G,SF,PF,F,Flx","25","BBB","34","","2211","40.2","100%","45.94","100%","0%","7.8","16.5","0.9","6.1","7.2","22.6","4.1","5.3","1.1","0.6","1.5","0.0","4"
"*06210*","Paolo Banchero","ORL","SF,PF,F,Flx","30","SERP","21","","2193","38.47","100%","54.69","100%","0%","8.1","17.7","1.5","5.0","7.1","22.7","6.8","5.2","1.0","0.5","3.0","0.0","12"
"*042nq*","Dejounte Murray","ATL","PG,SG,G,Flx","28","SDP","27","ATL 102<br/>@BKN 114","2178","40.33","100%","35.82","100%","0%","8.3","17.7","2.2","2.8","3.4","21.6","5.3","5.5","1.3","0.3","2.3","0.0","8"
"*02xg9*","Rudy Gobert","MIN","C,Flx","31","Jmarr237","31","","2110","38.36","100%","64.03","99%","0%","5.2","8.0","0.0","3.3","5.1","13.7","12.7","1.2","0.6","2.1","1.5","0.0","39"
"*04848*","Fred VanVleet","HOU","PG,G,Flx","36","Jmarr237","30","@PHO Sat 6:00PM","2085","41.7","100%","35.31","99%","+0.1%","5.5","13.4","2.9","2.6","3.0","16.5","3.7","8.0","1.1","0.9","1.7","0.0","15"
"*01uyj*","Paul George","LAC","SF,PF,F,Flx","37","Jmarr237","33","","2083","40.06","100%","36.49","98%","-0.1%","7.8","17.1","3.3","3.3","3.7","22.1","5.3","3.7","1.6","0.4","2.0","0.0","1"
"*027p0*","Nikola Vucevic","CHI","C,Flx","33","BBB","33","","2050","39.42","100%","39.96","100%","0%","7.5","15.9","1.1","1.4","1.7","17.6","10.7","3.4","0.7","0.8","1.5","0.0","31"
"*04ewf*","Bam Adebayo","MIA","C,Flx","38","Jmarr237","26","UTA 26<br/>@MIA 24","2034","43.28","100%","26.53","100%","0%","7.8","15.1","0.0","4.9","6.2","20.5","10.6","4.2","1.1","1.0","2.5","0.0","31"
"*042n1*","Brandon Ingram","NO","SG,G,SF,PF,F,Flx","34","SDP","26","","2017","38.79","100%","51.51","99%","+0.1%","8.0","16.4","1.4","4.0","5.0","21.4","4.9","5.8","0.8","0.6","2.6","0.0","3"
"*04azw*","Lauri Markkanen","UTA","SF,PF,F,Flx","44","STARKS","26","UTA 26<br/>@MIA 24","2007","41.81","100%","28.09","100%","0%","7.9","16.1","3.3","4.3","4.8","23.4","8.5","2.0","0.9","0.5","1.3","0.0","18"
"*051on*","Coby White","CHI","PG,SG,G,Flx","39","$C/$","24","","2003","35.14","63%","149.24","95%","-1.3%","6.9","15.2","2.9","2.8","3.3","19.5","4.7","5.2","0.7","0.2","2.2","0.0","3"
"*04ewr*","Kyle Kuzma","WAS","SF,PF,F,Flx","35","BIGFOOTS","28","","1993","36.24","100%","71.82","100%","0%","8.6","18.9","2.3","2.5","3.2","22.0","6.4","4.1","0.5","0.7","2.6","0.0","10"
"*04ewm*","Jarrett Allen","CLE","C,Flx","40","Jmarr237","25","","1991","39.04","100%","66.85","100%","0%","6.6","10.2","0.0","2.8","3.8","15.9","10.6","2.7","0.8","1.1","1.7","0.0","28"
"*04qrn*","Mikal Bridges","BKN","SG,G,SF,PF,F,Flx","41","STARKS","27","ATL 102<br/>@BKN 114","1982","34.77","100%","22.14","100%","0%","7.5","16.8","2.5","3.7","4.5","21.4","4.8","3.7","0.9","0.4","2.1","0.0","3"
"*03ad0*","Tyus Jones","WAS","PG,G,Flx","42","SDP","27","","1960","34.39","98%","89.8","98%","+0.3%","5.1","10.3","1.6","0.5","0.6","12.3","2.7","7.0","1.1","0.3","0.9","0.0","7"
"*03lls*","Jaylen Brown","BOS","SG,G,SF,F,Flx","43","STARKS","27","","1956","37.62","100%","38.9","99%","0%","8.6","17.3","2.0","3.0","4.2","22.1","5.5","3.8","1.1","0.6","2.4","0.0","4"
"*03ad4*","D'Angelo Russell","LAL","PG,SG,G,Flx","46","HBC","28","DEN Sat 5:30PM","1952","36.15","99%","97.2","99%","0%","6.4","13.9","2.7","2.0","2.5","17.6","2.9","6.4","0.8","0.5","1.9","0.0","6"
"*04ewt*","Derrick White","BOS","PG,SG,G,Flx","45","CCC","29","","1940","36.6","99%","88.69","100%","0%","5.5","11.7","2.7","2.1","2.3","15.8","3.9","4.8","1.0","1.2","1.6","0.0","3"
"*027oo*","Jonas Valanciunas","NO","C,Flx","48","STARKS","31","","1938","33.41","98%","99.81","99%","0%","5.5","9.7","0.6","2.2","2.8","13.8","9.6","2.3","0.4","1.0","1.4","0.0","30"
"*04qrj*","Jaren Jackson","MEM","PF,F,C,Flx","47","maxpat01","24","POR Sat 5:00PM","1932","36.45","100%","41.64","100%","0%","7.7","17.2","1.8","5.1","6.2","22.2","5.4","2.2","1.1","1.5","2.4","0.0","3"
"*03ad2*","Myles Turner","IND","C,Flx","51","Jmarr237","27","","1915","34.82","100%","42.61","100%","0%","6.3","11.9","1.4","3.5","4.4","17.4","7.1","1.3","0.6","1.7","1.5","0.0","12"
"*005ki*","Brook Lopez","MIL","C,Flx","50","BBB","35","","1907","34.67","100%","73.96","98%","-0.1%","4.9","10.2","1.8","1.4","1.7","13.0","5.5","1.7","0.6","2.7","1.0","0.0","4"
"*0621b*","Jalen Williams","OKC","SG,G,SF,PF,F,Flx","49","HBC","22","","1887","37","100%","65.45","100%","0%","7.5","13.8","1.5","2.6","3.3","19.1","4.0","4.6","1.0","0.5","1.7","0.0","2"
"*05uus*","Austin Reaves","LAL","PG,SG,G,SF,F,Flx","52","Orcas","25","DEN Sat 5:30PM","1881","31.88","100%","88.18","99%","0%","5.5","11.2","1.7","3.0","3.5","15.7","3.9","5.4","0.9","0.2","2.1","0.0","5"
"*051oh*","Zion Williamson","NO","PF,F,Flx","54","STARKS","23","","1869","39.77","100%","46.75","99%","0%","8.9","15.3","0.1","4.6","6.7","22.4","5.6","5.1","0.9","0.5","2.5","0.0","8"
"*05uib*","Cade Cunningham","DET","PG,SG,G,Flx","53","SERP","22","","1853","39.43","100%","32.81","100%","0%","8.4","18.5","1.9","3.7","4.3","22.4","4.2","7.4","0.9","0.4","3.6","0.0","10"
"*03e6n*","Jusuf Nurkic","PHO","C,Flx","58","CCC","29","HOU Sat 6:00PM","1832","33.93","98%","105.58","99%","0%","4.6","8.8","0.4","2.3","3.4","11.8","10.3","3.8","1.0","1.0","2.1","0.0","19"
"*03ajv*","Julius Randle","NY","PF,F,Flx","63","BBB","29","","1816","39.48","100%","43.94","99%","0%","8.6","18.2","1.7","5.1","6.6","24.0","9.2","5.0","0.5","0.3","3.5","0.0","18"
"*05uii*","Franz Wagner","ORL","SG,G,SF,F,Flx","57","Orcas","22","","1810","36.2","100%","63.35","100%","0%","7.7","16.2","1.6","3.8","4.4","20.8","5.6","4.1","1.1","0.3","2.0","0.0","0"
"*04qrp*","Miles Bridges","CHA","SF,PF,F,Flx","55","Jmarr237","25","","1810","39.35","73%","169.55","96%","+0.2%","8.2","17.7","2.5","2.6","3.1","21.5","7.4","3.3","1.1","0.5","2.0","0.0","13"
"*05qtr*","Devin Vassell","SA","SG,G,SF,F,Flx","56","CCC","23","","1783","33.64","99%","74.39","99%","0%","7.0","15.1","2.5","2.5","3.1","19.1","3.7","3.7","1.0","0.3","1.5","0.0","0"
"*027p4*","Tobias Harris","PHI","SF,PF,F,Flx","59","Jmarr237","31","","1761","34.53","99%","93.27","97%","-0.2%","6.6","13.2","1.1","3.0","3.3","17.3","6.1","3.3","1.0","0.6","1.4","0.0","4"
"*04qrr*","Michael Porter","DEN","SF,PF,F,Flx","60","HBC","25","@LAL Sat 5:30PM","1757","30.82","98%","93.75","98%","+0.3%","6.2","13.2","2.7","1.1","1.3","16.2","7.1","1.4","0.5","0.7","1.1","0.0","11"
"*04qrm*","Collin Sexton","UTA","PG,SG,G,Flx","61","BIGFOOTS","25","UTA 26<br/>@MIA 24","1745","30.09","80%","142.41","95%","-0.1%","6.0","12.4","1.6","4.3","4.9","17.8","2.6","4.7","0.7","0.2","2.0","0.0","3"
"*051pb*","Nicolas Claxton","BKN","C,Flx","62","Orcas","24","ATL 102<br/>@BKN 114","1739","37","100%","55","99%","0%","5.3","8.5","0.0","1.4","2.4","12.0","10.0","2.0","0.7","2.2","1.2","0.0","20"
"*042n4*","Jamal Murray","DEN","PG,SG,G,Flx","65","CCC","27","@LAL Sat 5:30PM","1712","40.76","100%","43.28","99%","+0.1%","7.8","16.5","2.4","2.7","3.1","20.6","3.9","6.4","0.8","0.7","2.0","0.0","7"
"*051pi*","Daniel Gafford","DAL","PF,F,C,Flx","67","CCC","25","","1711","34.22","98%","89.75","96%","-1.4%","4.5","6.6","0.0","1.9","2.7","10.9","8.1","1.5","0.9","2.1","1.0","0.0","11"
"*01eo9*","Jrue Holiday","BOS","PG,SG,G,Flx","66","STARKS","33","","1690","32.5","100%","51.87","98%","-0.3%","4.9","10.4","2.1","1.1","1.3","13.0","5.7","4.8","0.8","0.7","1.8","0.0","7"
"*03e6u*","Bogdan Bogdanovic","ATL","SG,G,SF,F,Flx","68","Jmarr237","31","ATL 102<br/>@BKN 114","1676","30.47","72%","152.93","92%","-0.4%","6.0","14.0","3.1","1.7","1.9","16.9","3.3","2.8","1.3","0.3","1.2","0.0","0"
"*027oj*","Kyrie Irving","DAL","PG,SG,G,Flx","64","BBB","31","","1665","47.57","100%","21.37","99%","0%","9.7","19.7","3.0","3.3","3.7","25.7","5.2","5.3","1.3","0.5","1.6","0.0","3"
"*03el5*","Kristaps Porzingis","BOS","PF,F,C,Flx","69","STARKS","28","","1655","39.4","100%","36.72","99%","0%","6.8","12.8","1.9","4.7","5.5","20.1","6.8","2.0","0.6","1.9","1.6","0.0","7"
"*049kc*","Malik Monk","SAC","PG,SG,G,Flx","70","BIGFOOTS","26","","1652","29.5","50%","163.65","90%","-1.5%","5.3","11.8","2.2","2.3","2.8","15.1","2.7","5.3","0.6","0.6","2.1","0.0","2"
"*05uiu*","Jalen Johnson","ATL","SF,PF,F,Flx","71","SERP","22","ATL 102<br/>@BKN 114","1643","38.21","68%","154.59","96%","-0.4%","6.3","12.1","1.2","1.9","2.6","15.7","8.7","3.4","1.2","0.9","1.7","0.0","16"
"*031lx*","CJ McCollum","NO","PG,SG,G,Flx","73","BBB","32","","1636","38.05","100%","71.97","98%","0%","6.8","14.8","3.3","1.9","2.4","18.8","4.3","4.6","1.1","0.7","1.6","0.0","1"
"*04ewk*","John Collins","UTA","PF,F,C,Flx","75","Jmarr237","26","UTA 26<br/>@MIA 24","1615","29.91","100%","90.76","98%","+0.1%","5.6","10.8","1.2","1.9","2.4","14.4","8.4","1.2","0.6","0.9","1.4","0.0","18"
"*05qtj*","Deni Avdija","WAS","SF,PF,F,Flx","74","GBRAYERS","23","","1615","29.36","79%","139.46","95%","+0.1%","5.0","9.8","1.1","2.4","3.2","13.6","6.5","3.7","0.8","0.4","2.0","0.0","8"
"*031m4*","Dennis Schroder","BKN","PG,G,Flx","72","HBC","30","ATL 102<br/>@BKN 114","1603","28.12","87%","134.13","91%","-0.1%","4.7","10.9","1.5","2.3","2.7","13.3","2.7","5.9","0.8","0.1","1.7","0.0","7"
"*06213*","Keegan Murray","SAC","SF,PF,F,Flx","78","SDP","23","","1591","30.02","97%","101.54","98%","+0.3%","5.7","12.2","2.3","1.3","1.6","15.0","5.3","1.6","1.1","0.6","0.9","0.0","4"
"*0015e*","Mike Conley","MIN","PG,G,Flx","76","Jmarr237","36","","1583","30.44","89%","128.94","89%","-0.7%","3.6","8.0","2.3","1.2","1.3","10.6","2.9","6.3","1.0","0.2","1.1","0.0","4"
"*03al0*","Aaron Gordon","DEN","PF,F,Flx","77","HBC","28","@LAL Sat 5:30PM","1579","30.37","98%","108.89","97%","+0.5%","5.5","9.9","0.6","2.3","3.7","13.8","6.5","3.1","0.8","0.7","1.5","0.0","10"
"*04qru*","Donte DiVincenzo","NY","SG,G,Flx","80","BIGFOOTS","27","","1577","27.67","33%","172.37","88%","-1.6%","4.9","10.7","3.1","0.9","1.2","13.8","3.3","2.5","1.2","0.4","1.2","0.0","0"
"*042n3*","Buddy Hield","PHI","SG,G,SF,F,Flx","85","Jmarr237","31","","1572","26.64","99%","97.99","95%","-0.6%","4.7","10.5","2.8","0.5","0.6","12.7","3.3","3.1","0.9","0.5","1.3","0.0","1"
"*05qt3*","Desmond Bane","MEM","SG,G,SF,F,Flx","93","maxpat01","25","POR Sat 5:00PM","1571","42.46","100%","39.02","97%","-1.7%","8.9","18.8","3.3","3.3","3.8","24.4","4.6","5.3","1.0","0.5","2.7","0.0","2"
"*05uic*","Jalen Green","HOU","PG,SG,G,Flx","79","$C/$","22","@PHO Sat 6:00PM","1569","27.53","100%","83.57","99%","-0.3%","6.1","15.0","2.0","3.5","4.3","17.7","4.8","3.4","0.7","0.4","2.2","0.0","4"
"*051p9*","Keldon Johnson","SA","SG,G,SF,F,Flx","88","GBRAYERS","24","","1559","28.87","97%","108.32","96%","-0.3%","5.8","12.8","1.7","2.6","3.3","15.8","5.5","3.0","0.8","0.3","1.5","0.0","8"
"*03nwl*","Terry Rozier","MIA","PG,SG,G,Flx","82","Jmarr237","29","UTA 26<br/>@MIA 24","1554","38.85","100%","82.11","99%","+0.5%","7.5","16.9","2.4","3.3","3.8","20.6","4.0","6.3","1.0","0.3","1.9","0.0","3"
"*03aq2*","Jerami Grant","POR","SF,PF,F,Flx","84","HBC","29","@MEM Sat 5:00PM","1552","31.67","100%","73.55","99%","+0.1%","7.3","16.2","2.1","4.8","6.0","21.6","3.6","2.7","0.8","0.7","2.1","0.0","1"
"*0558t*","Max Strus","CLE","SG,G,SF,PF,F,Flx","81","CCC","27","","1536","27.43","47%","160.76","87%","-0.2%","4.4","10.6","2.3","1.0","1.3","12.1","4.8","3.8","0.9","0.5","1.5","0.0","4"
"*042n6*","Jakob Poeltl","TOR","C,Flx","86","GBRAYERS","28","","1526","32.47","99%","79.13","97%","+0.3%","4.9","7.4","0.0","1.2","2.2","11.1","8.6","2.5","0.6","1.5","1.6","0.0","19"
"*05uig*","Josh Giddey","OKC","SG,G,SF,PF,F,Flx","94","STARKS","21","","1521","27.16","100%","53.22","97%","0%","4.6","10.2","0.9","1.2","1.5","11.3","6.2","4.4","0.7","0.6","2.0","0.0","5"
"*03e6s*","Clint Capela","ATL","C,Flx","87","Jmarr237","29","ATL 102<br/>@BKN 114","1520","31.02","98%","99.4","97%","-0.2%","4.7","8.3","0.0","1.8","2.8","11.2","10.4","1.0","0.6","1.5","0.9","0.0","23"
