"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","FGM","FGA","3PTM","FTM","FTA","PTS","REB","AST","ST","BLK","TO","3D","2D"
"*03e75*","Nikola Jokic","DEN","C,Flx","1","CCC","29","","5154","65.24","-","-","10.4","17.9","1.1","4.5","5.5","26.4","12.4","9.0","1.4","0.9","3.0","0.3","68"
"*04kj6*","Luka Doncic","DAL","PG,G,Flx","2","STARKS","25","","4644","66.34","-","-","11.5","23.6","4.1","6.8","8.7","33.9","9.2","9.8","1.4","0.5","4.0","0.3","49"
"*031m2*","Giannis Antetokounmpo","MIL","PF,F,C,Flx","3","BBB","29","OKC 93<br/>@MIL 118 F","4394","60.19","-","-","11.5","18.8","0.5","7.0","10.7","30.4","11.5","6.5","1.2","1.1","3.4","0.1","57"
"*042n7*","Domantas Sabonis","SAC","PF,F,C,Flx","4","BBB","28","","4345","52.99","-","-","7.7","13.0","0.4","3.6","5.1","19.4","13.7","8.2","0.9","0.6","3.3","0.3","77"
"*02nf1*","Anthony Davis","LAL","PF,F,C,Flx","5","BBB","31","IND 145<br/>@LAL 150 F","4338","57.08","-","-","9.4","16.9","0.4","5.5","6.8","24.7","12.6","3.5","1.2","2.3","2.1","0.0","64"
"*04qro*","Shai Gilgeous-Alexander","OKC","PG,SG,G,Flx","6","HBC","25","OKC 93<br/>@MIL 118 F","4277","57.03","-","-","10.6","19.8","1.3","7.6","8.7","30.1","5.5","6.2","2.0","0.9","2.2","0.0","8"
"*0011e*","LeBron James","LAL","SF,PF,F,Flx","7","Jmarr237","39","IND 145<br/>@LAL 150 F","3754","52.87","-","-","9.6","17.9","2.1","4.3","5.7","25.7","7.3","8.3","1.3","0.5","3.5","0.1","27"
"*06cch*","Victor Wembanyama","SA","PF,F,C,Flx","8","maxpat01","20","","3734","52.59","-","-","7.8","16.7","1.8","4.1","5.2","21.4","10.6","3.9","1.2","3.6","3.7","0.0","43"
"*001aw*","Kevin Durant","PHO","SF,PF,F,Flx","9","BBB","35","","3639","48.52","-","-","10.0","19.1","2.2","4.8","5.6","27.1","6.6","5.0","0.9","1.2","3.3","0.0","14"
"*05qtv*","Tyrese Haliburton","IND","PG,SG,G,Flx","10","GBRAYERS","24","IND 145<br/>@LAL 150 F","3575","51.81","-","-","7.2","15.2","2.8","2.8","3.3","20.1","3.9","10.9","1.2","0.7","2.3","0.0","44"
"*04qsa*","Jalen Brunson","NY","PG,G,Flx","11","BIGFOOTS","27","","3573","46.4","-","-","10.3","21.4","2.7","5.5","6.5","28.7","3.6","6.7","0.9","0.2","2.4","0.0","9"
"*03xmv*","Jayson Tatum","BOS","SF,PF,F,Flx","12","$?$","26","","3526","47.65","-","-","9.1","19.3","3.1","5.6","6.7","26.9","8.1","4.9","1.0","0.6","2.5","0.0","25"
"*049kb*","De'Aaron Fox","SAC","PG,G,Flx","13","BIGFOOTS","26","","3484","47.08","-","-","9.7","20.9","2.9","4.2","5.7","26.6","4.6","5.6","2.0","0.4","2.6","0.0","6"
"*05qug*","Anthony Edwards","MIN","SG,G,SF,F,Flx","14","maxpat01","22","GS 110<br/>@MIN 114 F","3382","42.81","-","-","9.1","19.7","2.4","5.4","6.4","25.9","5.4","5.1","1.3","0.5","3.1","0.0","9"
"*042nq*","Dejounte Murray","ATL","PG,SG,G,Flx","15","SDP","27","","3382","43.36","-","-","8.6","18.8","2.6","2.7","3.4","22.5","5.3","6.4","1.4","0.3","2.6","0.0","20"
"*01eon*","DeMar DeRozan","CHI","SG,G,SF,PF,F,Flx","16","BBB","34","","3293","41.68","-","-","8.2","17.2","0.9","6.6","7.7","24.0","4.3","5.3","1.1","0.6","1.7","0.0","7"
"*06211*","Chet Holmgren","OKC","PF,F,C,Flx","17","SERP","22","OKC 93<br/>@MIL 118 F","3290","40.12","-","-","6.2","11.6","1.6","2.7","3.4","16.5","7.9","2.4","0.6","2.3","1.6","0.0","23"
"*03nwm*","Devin Booker","PHO","PG,SG,G,SF,F,Flx","18","SDP","27","","3198","47.03","-","-","9.4","19.2","2.2","6.0","6.7","27.1","4.5","6.9","0.9","0.4","2.6","0.0","13"
"*04848*","Fred VanVleet","HOU","PG,G,Flx","19","Jmarr237","30","","3177","43.52","-","-","5.8","13.9","3.1","2.7","3.1","17.4","3.8","8.1","1.4","0.8","1.7","0.0","20"
"*042nm*","Pascal Siakam","TOR/IND","PF,F,C,Flx","20","STARKS","30","IND 145<br/>@LAL 150 F","3161","39.51","-","-","8.5","15.9","1.1","3.6","5.0","21.7","7.1","4.3","0.8","0.3","1.8","0.0","15"
